대여일시,대여건수
2019-12-01," 9,680 "
2019-12-02," 34,397 "
2019-12-03," 33,580 "
2019-12-04," 38,576 "
2019-12-05," 29,277 "
2019-12-06," 26,723 "
2019-12-07," 23,013 "
2019-12-08," 22,597 "
2019-12-09," 34,140 "
2019-12-10," 33,275 "
2019-12-11," 34,049 "
2019-12-12," 33,704 "
2019-12-13," 34,258 "
2019-12-14," 27,424 "
2019-12-15," 29,692 "
2019-12-16," 41,750 "
2019-12-17," 25,644 "
2019-12-18," 34,899 "
2019-12-19," 32,972 "
2019-12-20," 32,521 "
2019-12-21," 20,302 "
2019-12-22," 24,430 "
2019-12-23," 29,028 "
2019-12-24," 33,334 "
2019-12-25," 22,428 "
2019-12-26," 25,007 "
2019-12-27," 29,243 "
2019-12-28," 26,046 "
2019-12-29," 18,701 "
2019-12-30," 22,952 "
2019-12-31," 18,436 "
2019-07-05," 83,994 "
2019-07-06," 70,246 "
2019-07-07," 75,116 "
2019-07-08," 93,609 "
2019-07-09," 95,859 "
2019-07-10," 43,842 "
2019-07-11," 65,003 "
2019-07-12," 94,473 "
2019-07-13," 81,067 "
2019-07-14," 74,259 "
2019-07-15," 57,917 "
2019-07-16," 82,285 "
2019-07-17," 84,261 "
2019-07-18," 81,613 "
2019-07-19," 77,449 "
2019-07-20," 56,648 "
2019-07-21," 46,130 "
2019-07-22," 82,781 "
2019-07-23," 83,206 "
2019-07-24," 59,020 "
2019-07-25," 34,778 "
2019-07-26," 22,789 "
2019-07-27," 50,955 "
2019-07-28," 23,342 "
2019-07-29," 74,046 "
2019-07-30," 69,757 "
2019-07-31," 26,874 "
2019-08-01," 59,803 "
2019-08-02," 67,510 "
2019-08-03," 49,047 "
2019-08-04," 46,477 "
2019-08-05," 65,085 "
2019-08-06," 66,703 "
2019-08-07," 50,804 "
2019-08-08," 69,748 "
2019-08-09," 67,491 "
2019-08-10," 54,162 "
2019-08-11," 43,351 "
2019-08-12," 24,386 "
2019-08-13," 63,749 "
2019-08-14," 65,452 "
2019-08-15," 32,229 "
2019-08-16," 71,161 "
2019-08-17," 72,259 "
2019-08-18," 72,588 "
2019-08-19," 81,832 "
2019-08-20," 82,116 "
2019-08-21," 56,957 "
2019-08-22," 82,232 "
2019-08-23," 86,624 "
2019-08-24," 85,630 "
2019-08-25," 81,028 "
2019-08-26," 87,770 "
2019-08-27," 83,107 "
2019-08-28," 88,718 "
2019-08-29," 65,708 "
2019-08-30," 86,733 "
2019-08-31," 90,724 "
2019-09-01," 89,191 "
2019-09-02," 92,510 "
2019-09-03," 74,801 "
2019-09-04," 27,168 "
2019-09-05," 33,929 "
2019-09-06," 16,631 "
2019-09-08," 52,055 "
2019-09-09," 68,370 "
2019-09-10," 18,265 "
2019-09-11," 75,328 "
2019-09-12," 32,059 "
2019-09-13," 57,065 "
2019-09-14," 48,756 "
2019-09-15," 82,678 "
2019-09-16," 89,807 "
2019-09-17," 92,153 "
2019-09-18," 92,045 "
2019-09-19," 91,554 "
2019-09-20," 94,246 "
2019-09-21," 86,676 "
2019-09-22," 41,173 "
2019-09-23," 92,006 "
2019-09-24," 93,546 "
2019-09-25," 92,665 "
2019-09-26," 92,247 "
2019-09-27," 93,345 "
2019-09-28," 89,550 "
2019-09-29," 86,133 "
2019-09-30," 88,270 "
2019-10-01," 88,575 "
2019-10-02," 27,368 "
2019-10-03," 75,438 "
2019-10-04," 94,912 "
2019-10-05," 83,020 "
2019-10-06," 82,855 "
2019-10-07," 21,875 "
2019-10-08," 81,524 "
2019-10-09," 85,638 "
2019-10-10," 81,742 "
2019-10-11," 92,155 "
2019-10-12," 84,843 "
2019-10-13," 84,368 "
2019-10-14," 79,509 "
2019-10-15," 85,516 "
2019-10-16," 84,549 "
2019-10-17," 85,596 "
2019-10-18," 89,551 "
2019-10-19," 87,553 "
2019-10-20," 79,300 "
2019-10-21," 84,488 "
2019-10-22," 88,478 "
2019-10-23," 87,991 "
2019-10-24," 89,520 "
2019-10-25," 84,617 "
2019-10-26," 67,578 "
2019-10-27," 65,774 "
2019-10-28," 67,175 "
2019-10-29," 71,135 "
2019-10-30," 76,898 "
2019-10-31," 76,860 "
2019-11-01," 77,604 "
2019-11-02," 68,223 "
2019-11-03," 67,452 "
2019-11-04," 78,874 "
2019-11-05," 78,675 "
2019-11-06," 74,812 "
2019-11-07," 68,315 "
2019-11-08," 65,110 "
2019-11-09," 60,693 "
2019-11-10," 40,503 "
2019-11-11," 58,957 "
2019-11-12," 68,210 "
2019-11-13," 39,198 "
2019-11-14," 45,095 "
2019-11-15," 15,069 "
2019-11-16," 45,493 "
2019-11-17," 11,303 "
2019-11-18," 37,496 "
2019-11-19," 40,356 "
2019-11-20," 42,026 "
2019-11-21," 47,091 "
2019-11-22," 56,700 "
2019-11-23," 54,283 "
2019-11-24," 24,304 "
2019-11-25," 42,677 "
2019-11-26," 52,464 "
2019-11-27," 46,248 "
2019-11-28," 46,983 "
2019-11-29," 44,689 "
2019-11-30," 38,366 "
2020-01-01," 16,236 "
2020-01-02," 28,890 "
2020-01-03," 30,809 "
2020-01-04," 25,709 "
2020-01-05," 23,206 "
2020-01-06," 15,381 "
2020-01-07," 1,920 "
2020-01-08," 21,522 "
2020-01-09," 28,711 "
2020-01-10," 29,395 "
2020-01-11," 23,246 "
2020-01-12," 19,842 "
2020-01-13," 26,786 "
2020-01-14," 28,435 "
2020-01-15," 28,391 "
2020-01-16," 29,026 "
2020-01-17," 29,626 "
2020-01-18," 24,635 "
2020-01-19," 17,682 "
2020-01-20," 28,611 "
2020-01-21," 30,618 "
2020-01-22," 33,011 "
2020-01-23," 34,466 "
2020-01-24," 19,230 "
2020-01-25," 15,233 "
2020-01-26," 22,685 "
2020-01-27," 16,836 "
2020-01-28," 32,098 "
2020-01-29," 37,990 "
2020-01-30," 38,079 "
2020-01-31," 35,857 "
2020-02-01," 27,151 "
2020-02-02," 22,384 "
2020-02-03," 29,681 "
2020-02-04," 23,006 "
2020-02-05," 20,311 "
2020-02-06," 22,401 "
2020-02-07," 26,540 "
2020-02-08," 22,046 "
2020-02-09," 21,099 "
2020-02-10," 33,956 "
2020-02-11," 40,563 "
2020-02-12," 10,698 "
2020-02-13," 34,375 "
2020-02-14," 41,229 "
2020-02-15," 29,837 "
2020-02-16," 6,798 "
2020-02-17," 13,777 "
2020-02-18," 19,773 "
2020-02-19," 32,721 "
2020-02-20," 36,027 "
2020-02-21," 29,779 "
2020-02-22," 18,290 "
2020-02-23," 25,159 "
2020-02-24," 36,094 "
2020-02-25," 15,939 "
2020-02-26," 35,773 "
2020-02-27," 38,526 "
2020-02-28," 12,644 "
2020-02-29," 35,697 "
2020-03-01," 24,431 "
2020-03-02," 36,641 "
2020-03-03," 39,447 "
2020-03-04," 31,269 "
2020-03-05," 35,851 "
2020-03-06," 40,897 "
2020-03-07," 42,379 "
2020-03-08," 54,245 "
2020-03-09," 53,020 "
2020-03-10," 10,606 "
2020-03-11," 45,245 "
2020-03-12," 50,094 "
2020-03-13," 43,554 "
2020-03-14," 42,569 "
2020-03-15," 33,215 "
2020-03-16," 42,441 "
2020-03-17," 47,241 "
2020-03-18," 62,119 "
2020-03-19," 24,256 "
2020-03-20," 53,839 "
2020-03-21," 63,759 "
2020-03-22," 64,436 "
2020-03-23," 63,686 "
2020-03-24," 69,998 "
2020-03-25," 73,460 "
2020-03-26," 47,633 "
2020-03-27," 60,183 "
2020-03-28," 64,677 "
2020-03-29," 68,430 "
2020-03-30," 69,293 "
2020-03-31," 74,621 "
2020-04-01," 70,258 "
2020-04-02," 72,129 "
2020-04-03," 74,856 "
2020-04-04," 66,405 "
2020-04-05," 64,111 "
2020-04-06," 68,414 "
2020-04-07," 73,685 "
2020-04-08," 72,863 "
2020-04-09," 73,382 "
2020-04-10," 75,021 "
2020-04-11," 75,637 "
2020-04-12," 63,335 "
2020-04-13," 77,604 "
2020-04-14," 83,798 "
2020-04-15," 89,789 "
2020-04-16," 83,970 "
2020-04-17," 35,656 "
2020-04-18," 92,829 "
2020-04-19," 29,375 "
2020-04-20," 56,129 "
2020-04-21," 58,746 "
2020-04-22," 51,337 "
2020-04-23," 64,765 "
2020-04-24," 72,883 "
2020-04-25," 78,419 "
2020-04-26," 82,600 "
2020-04-27," 77,149 "
2020-04-28," 86,541 "
2020-04-29," 88,827 "
2020-04-30," 96,877 "
2020-05-01," 93,249 "
2020-05-02," 88,508 "
2020-05-03," 89,287 "
2020-05-04," 93,579 "
2020-05-05," 88,219 "
2020-05-06," 88,561 "
2020-05-07," 90,645 "
2020-05-08," 63,474 "
2020-05-09," 7,600 "
2020-05-10," 65,932 "
2020-05-11," 76,042 "
2020-05-12," 78,200 "
2020-05-13," 89,183 "
2020-05-14," 89,149 "
2020-05-15," 13,782 "
2020-05-16," 64,549 "
2020-05-17," 89,449 "
2020-05-18," 36,761 "
2020-05-19," 55,556 "
2020-05-20," 88,257 "
2020-05-21," 93,930 "
2020-05-22," 89,317 "
2020-05-23," 101,256 "
2020-05-24," 80,357 "
2020-05-25," 92,531 "
2020-05-26," 68,498 "
2020-05-27," 101,949 "
2020-05-28," 99,792 "
2020-05-29," 103,999 "
2020-05-30," 105,172 "
2020-05-31," 93,547 "
