,기간,환율
0,2019.01,1122.0
1,2019.02,1122.45
2,2019.03,1130.72
3,2019.04,1140.95
4,2019.05,1183.29
5,2019.06,1175.62
6,2019.07,1175.31
7,2019.08,1208.98
8,2019.09,1197.55
9,2019.10,1184.13
10,2019.11,1167.45
11,2019.12,1175.84
12,2020.01,1164.28
13,2020.02,1193.79
14,2020.03,1220.09
15,2020.04,1225.22
16,2020.05,1228.67
17,2020.06,1210.01
18,2020.07,1198.9
19,2020.08,1186.84
20,2020.09,1178.8
21,2020.10,1144.68
22,2020.11,1116.76
23,2020.12,1095.13
24,2021.01,1097.49
25,2021.02,1111.72
26,2021.03,1131.02
27,2021.04,1119.4
28,2021.05,1123.28
29,2021.06,1121.3
30,2021.07,1143.98
31,2021.08,1160.34
32,2021.09,1169.54
33,2021.10,1182.82
34,2021.11,1182.91
35,2021.12,1183.7
36,2022.01,1194.0
37,2022.02,1198.34
38,2022.03,1221.03
39,2022.04,1232.34
40,2022.05,1269.88
41,2022.06,1277.34
